Profile: <cProfile.Profile object at 0x000001BA0CDE07C0>
         73185 function calls (70800 primitive calls) in 9.198 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    5.184    0.020    5.184    0.020 {method 'read' of '_ssl._SSLSocket' objects}
      177    2.983    0.017    2.983    0.017 {built-in method _overlapped.GetQueuedCompletionStatus}
       25    0.272    0.011    0.272    0.011 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.126    0.032    0.126    0.032 {method 'connect' of '_socket.socket' objects}
        2    0.119    0.060    0.119    0.060 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.055    0.018    0.055    0.018 {built-in method _socket.getaddrinfo}
        2    0.052    0.026    0.052    0.026 {built-in method _ssl.enum_certificates}
        1    0.018    0.018    0.018    0.018 {method 'read' of '_io.TextIOWrapper' objects}
      121    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
      459    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      293    0.013    0.000    0.017    0.000 {method 'sub' of 're.Pattern' objects}
       55    0.009    0.000    0.009    0.000 {method 'WSASend' of '_overlapped.Overlapped' objects}
       11    0.008    0.001    0.010    0.001 sslproto.py:267(__init__)
        2    0.008    0.004    0.008    0.004 models.py:909(text)
        1    0.008    0.008    0.008    0.008 {built-in method _winapi.CreateProcess}
        4    0.006    0.001    0.006    0.002 cookies.py:358(update)
   759/95    0.005    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
9157/9031    0.005    0.000    0.009    0.000 {built-in method builtins.isinstance}
       27    0.005    0.000    0.009    0.000 cookiejar.py:620(request_host)
       12    0.005    0.000    0.006    0.001 url.py:227(_encode_invalid_chars)
        1    0.004    0.004    0.004    0.004 _writers.py:36(write_request)
      444    0.004    0.000    0.019    0.000 response.py:122(decompress)
       70    0.004    0.000    3.380    0.048 base_events.py:1845(_run_once)
       63    0.003    0.000    0.591    0.009 {method 'join' of 'bytes' objects}
        9    0.003    0.000    0.007    0.001 typing.py:658(Union)
      528    0.003    0.000    0.006    0.000 <frozen os>:674(__getitem__)
     1169    0.003    0.000    0.004    0.000 typing.py:2412(get_origin)
      158    0.003    0.000    0.003    0.000 __init__.py:91(_replace_charref)
       20    0.003    0.000    0.003    0.000 socket.py:220(__init__)
       71    0.003    0.000    2.988    0.042 windows_events.py:804(_poll)
       13    0.003    0.000    0.005    0.000 client_proto.py:241(data_received)
        4    0.003    0.001    0.010    0.003 request.py:2499(getproxies_environment)
