Profile: <cProfile.Profile object at 0x0000027907471630>
         36274 function calls (36090 primitive calls) in 4.358 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      209    2.859    0.014    2.859    0.014 {method 'read' of '_ssl._SSLSocket' objects}
       76    0.724    0.010    0.724    0.010 {built-in method _overlapped.GetQueuedCompletionStatus}
        4    0.270    0.068    0.270    0.068 {method 'connect' of '_socket.socket' objects}
        9    0.198    0.022    0.198    0.022 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.090    0.045    0.090    0.045 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.039    0.019    0.039    0.019 {built-in method _ssl.enum_certificates}
        3    0.013    0.004    0.013    0.004 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        3    0.012    0.004    0.012    0.004 {built-in method _socket.getaddrinfo}
      407    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      295    0.006    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
      119    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
        3    0.004    0.001    0.004    0.001 models.py:909(text)
       79    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
       15    0.003    0.000    0.003    0.000 {method 'WSASend' of '_overlapped.Overlapped' objects}
      407    0.002    0.000    0.012    0.000 response.py:122(decompress)
       48    0.002    0.000    0.659    0.014 {method 'join' of 'bytes' objects}
        1    0.002    0.002    0.002    0.002 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        3    0.002    0.001    0.003    0.001 client_proto.py:241(data_received)
       73    0.002    0.000    0.657    0.009 response.py:1143(read_chunked)
      803    0.001    0.000    0.225    0.000 {method 'read' of '_io.BufferedReader' objects}
      767    0.001    0.000    0.004    0.000 <frozen os>:674(__getitem__)
      407    0.001    0.000    0.413    0.001 response.py:1103(_update_chunk_length)
       15    0.001    0.000    0.002    0.000 url.py:227(_encode_invalid_chars)
      816    0.001    0.000    0.005    0.000 <frozen _collections_abc>:859(__iter__)
        3    0.001    0.000    0.001    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
        6    0.001    0.000    0.001    0.000 {function socket.close at 0x00000279046EF420}
      157    0.001    0.000    0.002    0.000 __init__.py:91(_replace_charref)
        6    0.001    0.000    0.007    0.001 request.py:2499(getproxies_environment)
