Profile: <cProfile.Profile object at 0x000001D0792CD780>
         53760 function calls (53536 primitive calls) in 4.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    2.928    0.011    2.928    0.011 {method 'read' of '_ssl._SSLSocket' objects}
      185    0.595    0.003    0.595    0.003 {built-in method _overlapped.GetQueuedCompletionStatus}
       25    0.297    0.012    0.297    0.012 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.161    0.081    0.161    0.081 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        4    0.114    0.029    0.114    0.029 {method 'connect' of '_socket.socket' objects}
        2    0.071    0.036    0.071    0.036 {built-in method _ssl.enum_certificates}
        3    0.022    0.007    0.022    0.007 {built-in method _socket.getaddrinfo}
      487    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       55    0.011    0.000    0.011    0.000 {method 'WSASend' of '_overlapped.Overlapped' objects}
       11    0.008    0.001    0.010    0.001 sslproto.py:267(__init__)
      295    0.008    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
      143    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        3    0.006    0.002    0.006    0.002 models.py:909(text)
       78    0.004    0.000    1.090    0.014 base_events.py:1845(_run_once)
      477    0.004    0.000    0.020    0.000 response.py:122(decompress)
       15    0.004    0.000    0.005    0.000 url.py:227(_encode_invalid_chars)
       11    0.003    0.000    0.003    0.000 {method 'ConnectEx' of '_overlapped.Overlapped' objects}
       79    0.003    0.000    0.601    0.008 windows_events.py:804(_poll)
       72    0.003    0.000    0.548    0.008 {method 'join' of 'bytes' objects}
       87    0.003    0.000    0.545    0.006 response.py:1143(read_chunked)
      415    0.003    0.000    0.483    0.001 {method 'run' of '_contextvars.Context' objects}
      477    0.003    0.000    0.429    0.001 response.py:1103(_update_chunk_length)
       79    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
      425    0.002    0.000    0.005    0.000 base_events.py:780(_call_soon)
       20    0.002    0.000    0.002    0.000 socket.py:220(__init__)
       13    0.002    0.000    0.005    0.000 client_proto.py:241(data_received)
      942    0.002    0.000    0.089    0.000 client.py:624(_safe_read)
      474    0.002    0.000    0.091    0.000 response.py:1121(_handle_chunk)
      779    0.002    0.000    0.006    0.000 <frozen os>:674(__getitem__)
       66    0.002    0.000    0.293    0.004 client.py:448(_request)
      828    0.002    0.000    0.008    0.000 <frozen _collections_abc>:859(__iter__)
       11    0.002    0.000    0.004    0.000 proactor_events.py:185(__init__)
      470    0.002    0.000    0.002    0.000 events.py:31(__init__)
2954/2920    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
       79    0.002    0.000    0.004    0.000 base_events.py:429(create_task)
      158    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
       36    0.002    0.000    0.002    0.000 {method 'setsockopt' of '_socket.socket' objects}
      106    0.002    0.000    0.004    0.000 windows_events.py:757(_register)
        6    0.002    0.000    0.010    0.002 request.py:2499(getproxies_environment)
      415    0.002    0.000    0.485    0.001 events.py:78(_run)
      942    0.002    0.000    0.086    0.000 {method 'read' of '_io.BufferedReader' objects}
       11    0.002    0.000    0.002    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
        6    0.002    0.000    0.002    0.000 {function socket.close at 0x000001D07654F380}
      425    0.002    0.000    0.007    0.000 base_events.py:751(call_soon)
        1    0.002    0.002    0.002    0.002 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
      440    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      779    0.002    0.000    0.003    0.000 <frozen os>:748(encodekey)
       26    0.002    0.000    0.002    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       11    0.002    0.000    0.002    0.000 {built-in method _overlapped.BindLocal}
      474    0.002    0.000    0.021    0.000 response.py:456(_decode)
        1    0.002    0.002    0.004    0.004 _transcripts.py:352(<listcomp>)
       35    0.001    0.000    0.001    0.000 {method 'WSARecvInto' of '_overlapped.Overlapped' objects}
      190    0.001    0.000    2.926    0.015 ssl.py:1300(recv_into)
2449/2418    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      190    0.001    0.000    2.928    0.015 socket.py:692(readinto)
        1    0.001    0.001    0.836    0.836 _transcripts.py:44(fetch)
      140    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFD3B5B8F90}
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.001    0.001    0.827    0.827 _transcripts.py:81(_fetch_video_html)
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      106    0.001    0.000    0.001    0.000 windows_events.py:54(__init__)
    84/26    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
      173    0.001    0.000    0.001    0.000 parse.py:205(_hostinfo)
