Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219   16.818    0.077   16.818    0.077 {method 'read' of '_ssl._SSLSocket' objects}
        4    0.188    0.047    0.188    0.047 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.135    0.034    0.135    0.034 {method 'connect' of '_socket.socket' objects}
        4    0.080    0.020    0.080    0.020 {built-in method _socket.getaddrinfo}
66701/65713    0.037    0.000    0.050    0.000 {built-in method builtins.isinstance}
    12289    0.036    0.000    0.051    0.000 typing.py:2412(get_origin)
  1683/11    0.022    0.000    0.309    0.028 _transform.py:145(_transform_recursive)
     1683    0.017    0.000    0.027    0.000 typing.py:443(is_typeddict)
 3839/836    0.016    0.000    0.081    0.000 typing.py:366(_eval_type)
        1    0.016    0.016    0.016    0.016 {method 'read' of '_io.TextIOWrapper' objects}
      363    0.015    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
      455    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      874    0.013    0.000    0.026    0.000 typing.py:168(_type_check)
      132    0.013    0.000    0.097    0.001 typing.py:2288(get_type_hints)
      836    0.011    0.000    0.079    0.000 typing.py:869(_evaluate)
      201    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
 1394/709    0.010    0.000    0.012    0.000 {built-in method _abc._abc_subclasscheck}
     1101    0.010    0.000    0.051    0.000 __init__.py:383(__getattr__)
     1771    0.009    0.000    0.031    0.000 _transform.py:111(_get_annotated_type)
        3    0.008    0.003    0.008    0.003 models.py:909(text)
       26    0.008    0.000    0.008    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.007    0.007    0.007    0.007 {built-in method _winapi.CreateProcess}
     1101    0.007    0.000    0.035    0.000 __init__.py:108(import_module)
     1101    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
     1101    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:1035(_resolve_name)
1936/1683    0.006    0.000    0.029    0.000 _typing.py:40(strip_annotated_type)
3267/1771    0.006    0.000    0.015    0.000 typing.py:388(<genexpr>)
     3707    0.006    0.000    0.022    0.000 _typing.py:29(is_required_type)
   132/22    0.006    0.000    0.307    0.014 _transform.py:231(_transform_typeddict)
     1415    0.005    0.000    0.009    0.000 typing.py:2441(get_args)
     3608    0.005    0.000    0.020    0.000 _typing.py:11(is_annotated_type)
       94    0.005    0.000    0.469    0.005 {method 'join' of 'bytes' objects}
     5681    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
     1101    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
     1714    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:405(parent)
      426    0.004    0.000    0.005    0.000 _models.py:219(<listcomp>)
     2810    0.004    0.000    0.006    0.000 typing.py:1664(__eq__)
     2364    0.004    0.000    0.006    0.000 _models.py:92(encoding)
     1551    0.004    0.000    0.010    0.000 _typing.py:19(is_iterable_type)
       15    0.004    0.000    0.005    0.000 url.py:227(_encode_invalid_chars)
1150/1144    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     5569    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     1529    0.004    0.000    0.011    0.000 _typing.py:25(is_union_type)
1122/1119    0.004    0.000    0.013    0.000 typing.py:352(inner)
       33    0.003    0.000    0.007    0.000 _headers.py:150(normalize_and_validate)
     3023    0.003    0.000    0.005    0.000 typing.py:1365(__eq__)
      442    0.003    0.000    0.018    0.000 response.py:122(decompress)
     1101    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:1101(_sanity_check)
      426    0.003    0.000    0.011    0.000 _models.py:210(__getitem__)
     1683    0.003    0.000    0.005    0.000 utils.py:180(lenient_issubclass)
    54/43    0.003    0.000    0.006    0.000 _readers.py:157(__call__)
      158    0.003    0.000    0.003    0.000 __init__.py:91(_replace_charref)
      836    0.003    0.000    0.019    0.000 {built-in method builtins.eval}
     1551    0.003    0.000    0.009    0.000 _typing.py:15(is_list_type)
     4588    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      708    0.003    0.000    0.003    0.000 {method 'fullmatch' of 're.Pattern' objects}
       72    0.002    0.000    0.440    0.006 response.py:1143(read_chunked)
2938/2932    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
   143/11    0.002    0.000    0.045    0.004 _models.py:382(construct_type)
     1326    0.002    0.000    0.003    0.000 _models.py:27(enforce_bytes)
