Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      213   23.350    0.110   23.350    0.110 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.928    0.928    0.928    0.928 {built-in method time.sleep}
        2    0.190    0.095    0.190    0.095 {method 'connect' of '_socket.socket' objects}
        2    0.114    0.057    0.114    0.057 {method 'do_handshake' of '_ssl._SSLSocket' objects}
71596/70512    0.038    0.000    0.052    0.000 {built-in method builtins.isinstance}
    13344    0.038    0.000    0.054    0.000 typing.py:2412(get_origin)
  1836/12    0.024    0.000    0.318    0.027 _transform.py:145(_transform_recursive)
 4188/912    0.018    0.000    0.083    0.000 typing.py:366(_eval_type)
     1836    0.018    0.000    0.029    0.000 typing.py:443(is_typeddict)
      411    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      144    0.013    0.000    0.099    0.001 typing.py:2288(get_type_hints)
      912    0.013    0.000    0.027    0.000 typing.py:168(_type_check)
      175    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
      363    0.011    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
      912    0.011    0.000    0.080    0.000 typing.py:869(_evaluate)
     1188    0.010    0.000    0.052    0.000 __init__.py:383(__getattr__)
       28    0.009    0.000    0.009    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     1188    0.007    0.000    0.036    0.000 __init__.py:108(import_module)
        2    0.007    0.004    0.007    0.004 models.py:909(text)
2112/1836    0.006    0.000    0.031    0.000 _typing.py:40(strip_annotated_type)
     4044    0.006    0.000    0.023    0.000 _typing.py:29(is_required_type)
     1188    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:1035(_resolve_name)
     1536    0.006    0.000    0.009    0.000 typing.py:2441(get_args)
3564/1932    0.006    0.000    0.017    0.000 typing.py:388(<genexpr>)
     1188    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
     1932    0.006    0.000    0.028    0.000 _transform.py:111(_get_annotated_type)
     3936    0.006    0.000    0.020    0.000 _typing.py:11(is_annotated_type)
