Profile: <cProfile.Profile object at 0x0000023496070130>
         93303 function calls (93185 primitive calls) in 33.883 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224   32.107    0.143   32.107    0.143 {method 'read' of '_ssl._SSLSocket' objects}
       14    0.751    0.054    0.751    0.054 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       14    0.564    0.040    0.564    0.040 {method 'connect' of '_socket.socket' objects}
       14    0.118    0.008    0.118    0.008 {built-in method _socket.getaddrinfo}
      495    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     3875    0.011    0.000    0.040    0.000 <frozen _collections_abc>:859(__iter__)
     3626    0.010    0.000    0.026    0.000 <frozen os>:674(__getitem__)
       28    0.009    0.000    0.048    0.002 request.py:2499(getproxies_environment)
      541    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
      501    0.008    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
     3626    0.007    0.000    0.016    0.000 <frozen os>:748(encodekey)
       14    0.007    0.000    0.007    0.000 models.py:909(text)
       14    0.006    0.000    0.006    0.000 {function socket.close at 0x000002349329F380}
       48    0.006    0.000    0.008    0.000 url.py:227(_encode_invalid_chars)
       28    0.006    0.000    0.006    0.000 {built-in method nt.stat}
     3626    0.005    0.000    0.007    0.000 <frozen os>:742(check_str)
       26    0.005    0.000    0.005    0.000 {method 'write' of '_ssl._SSLSocket' objects}
7528/7472    0.004    0.000    0.006    0.000 {built-in method builtins.isinstance}
     3528    0.004    0.000    0.004    0.000 <frozen os>:697(__iter__)
      322    0.004    0.000    0.007    0.000 parse.py:374(urlparse)
     7587    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      509    0.003    0.000    0.016    0.000 response.py:122(decompress)
       26    0.003    0.000    0.008    0.000 cookiejar.py:466(parse_ns_headers)
       14    0.003    0.000    0.009    0.001 ssl.py:1368(_real_close)
       93    0.003    0.000    0.488    0.005 response.py:1143(read_chunked)
      193    0.003    0.000    0.491    0.003 {method 'join' of 'bytes' objects}
       14    0.003    0.000    0.007    0.000 feedparser.py:469(_parse_headers)
      109    0.003    0.000    0.004    0.000 client.py:1242(putheader)
       42    0.003    0.000    0.003    0.000 {built-in method winreg.QueryValueEx}
      674    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
      509    0.002    0.000    0.293    0.001 response.py:1103(_update_chunk_length)
       28    0.002    0.000    0.002    0.000 socket.py:220(__init__)
      984    0.002    0.000    0.169    0.000 client.py:624(_safe_read)
      495    0.002    0.000    0.171    0.000 response.py:1121(_handle_chunk)
       81    0.002    0.000    0.002    0.000 threading.py:90(RLock)
      608    0.002    0.000    0.002    0.000 structures.py:46(__setitem__)
      111    0.002    0.000    0.006    0.000 <frozen _collections_abc>:941(update)
      158    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
       28    0.002    0.000    0.002    0.000 {built-in method winreg.OpenKey}
        1    0.002    0.002   23.170   23.170 sync_summary.py:99(<listcomp>)
       52    0.002    0.000    0.002    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      311    0.002    0.000    0.003    0.000 _policybase.py:293(header_source_parse)
       28    0.002    0.000    0.013    0.000 feedparser.py:216(_parsegen)
       56    0.002    0.000    0.003    0.000 message.py:524(get_all)
       70    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
      856    0.002    0.000   31.950    0.037 {method 'readline' of '_io.BufferedReader' objects}
     3742    0.002    0.000    0.002    0.000 {method 'upper' of 'str' objects}
      224    0.002    0.000   32.110    0.143 ssl.py:1300(recv_into)
      984    0.002    0.000    0.166    0.000 {method 'read' of '_io.BufferedReader' objects}
      355    0.002    0.000    0.002    0.000 parse.py:119(_coerce_args)
      332    0.002    0.000    0.004    0.000 <frozen _collections_abc>:771(get)
      112    0.002    0.000    0.003    0.000 message.py:489(get)
      224    0.002    0.000   32.112    0.143 socket.py:692(readinto)
       14    0.002    0.000    0.002    0.000 client.py:206(_read_headers)
