Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218   19.032    0.087   19.032    0.087 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.160    0.053    0.160    0.053 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        3    0.115    0.038    0.115    0.038 {method 'connect' of '_socket.socket' objects}
72045/70973    0.037    0.000    0.049    0.000 {built-in method builtins.isinstance}
    13401    0.035    0.000    0.050    0.000 typing.py:2412(get_origin)
  1836/12    0.021    0.000    0.299    0.025 _transform.py:145(_transform_recursive)
        3    0.019    0.006    0.019    0.006 {built-in method _socket.getaddrinfo}
 4188/912    0.018    0.000    0.083    0.000 typing.py:366(_eval_type)
        1    0.017    0.017    0.017    0.017 {method 'read' of '_io.TextIOWrapper' objects}
     1836    0.015    0.000    0.026    0.000 typing.py:443(is_typeddict)
      424    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      953    0.012    0.000    0.027    0.000 typing.py:168(_type_check)
      144    0.012    0.000    0.098    0.001 typing.py:2288(get_type_hints)
      912    0.010    0.000    0.081    0.000 typing.py:869(_evaluate)
     1200    0.009    0.000    0.048    0.000 __init__.py:383(__getattr__)
      176    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
       26    0.008    0.000    0.008    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.007    0.007    0.007    0.007 {built-in method _winapi.CreateProcess}
      359    0.007    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
     1200    0.007    0.000    0.033    0.000 __init__.py:108(import_module)
        2    0.006    0.003    0.006    0.003 models.py:909(text)
3564/1932    0.006    0.000    0.017    0.000 typing.py:388(<genexpr>)
     4044    0.006    0.000    0.021    0.000 _typing.py:29(is_required_type)
2112/1836    0.006    0.000    0.029    0.000 _typing.py:40(strip_annotated_type)
     1932    0.006    0.000    0.027    0.000 _transform.py:111(_get_annotated_type)
     1200    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
     3936    0.005    0.000    0.019    0.000 _typing.py:11(is_annotated_type)
     1543    0.005    0.000    0.009    0.000 typing.py:2441(get_args)
     1200    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:1035(_resolve_name)
   144/24    0.005    0.000    0.297    0.012 _transform.py:231(_transform_typeddict)
     3058    0.005    0.000    0.006    0.000 typing.py:1664(__eq__)
     6159    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
      466    0.005    0.000    0.005    0.000 _models.py:219(<listcomp>)
     1200    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
     1866    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:405(parent)
     2582    0.004    0.000    0.006    0.000 _models.py:92(encoding)
1253/1247    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     3294    0.004    0.000    0.005    0.000 typing.py:1365(__eq__)
     5987    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     1692    0.004    0.000    0.010    0.000 _typing.py:19(is_iterable_type)
 1009/770    0.004    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     1668    0.004    0.000    0.011    0.000 _typing.py:25(is_union_type)
       36    0.003    0.000    0.007    0.000 _headers.py:150(normalize_and_validate)
1222/1218    0.003    0.000    0.013    0.000 typing.py:352(inner)
      466    0.003    0.000    0.012    0.000 _models.py:210(__getitem__)
     1200    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:1101(_sanity_check)
      405    0.003    0.000    0.018    0.000 response.py:122(decompress)
       85    0.003    0.000    0.521    0.006 {method 'join' of 'bytes' objects}
     1836    0.003    0.000    0.005    0.000 utils.py:180(lenient_issubclass)
      766    0.003    0.000    0.003    0.000 {method 'fullmatch' of 're.Pattern' objects}
     1692    0.003    0.000    0.009    0.000 _typing.py:15(is_list_type)
     4817    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      912    0.003    0.000    0.018    0.000 {built-in method builtins.eval}
       12    0.003    0.000    0.003    0.000 url.py:227(_encode_invalid_chars)
   156/12    0.002    0.000    0.034    0.003 _models.py:382(construct_type)
     1446    0.002    0.000    0.004    0.000 _models.py:27(enforce_bytes)
      800    0.002    0.000    0.093    0.000 client.py:624(_safe_read)
     1154    0.002    0.000    0.003    0.000 _utils.py:31(normalize_header_key)
3151/3145    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
       62    0.002    0.000    0.496    0.008 response.py:1143(read_chunked)
     1842    0.002    0.000    0.008    0.000 {built-in method builtins.issubclass}
       71    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
